DATE,MORTGAGE30US
1/1/1971,7.54
1/1/1972,7.38
1/1/1973,8.04
1/1/1974,9.19
1/1/1975,9.05
1/1/1976,8.87
1/1/1977,8.85
1/1/1978,9.64
1/1/1979,11.20
1/1/1980,13.74
1/1/1981,16.64
1/1/1982,16.04
1/1/1983,13.24
1/1/1984,13.88
1/1/1985,12.43
1/1/1986,10.19
1/1/1987,10.21
1/1/1988,10.34
1/1/1989,10.32
1/1/1990,10.13
1/1/1991,9.25
1/1/1992,8.39
1/1/1993,7.31
1/1/1994,8.38
1/1/1995,7.93
1/1/1996,7.81
1/1/1997,7.60
1/1/1998,6.94
1/1/1999,7.44
1/1/2000,8.05
1/1/2001,6.97
1/1/2002,6.54
1/1/2003,5.83
1/1/2004,5.84
1/1/2005,5.87
1/1/2006,6.41
1/1/2007,6.34
1/1/2008,6.03
1/1/2009,5.04
1/1/2010,4.69
1/1/2011,4.45
1/1/2012,3.66
1/1/2013,3.98
1/1/2014,4.17
1/1/2015,3.85
1/1/2016,3.65
1/1/2017,3.99
1/1/2018,4.54
,
