,SizeRank,unemployment_rate,MORTGAGE30US,Avg Income,Prediction,Actual
11852,8861,10.9,3.66,38614.64968152866,131643.29464209088,127737.5
851,5296,7.1,4.45,75124.71377167157,365502.5529612919,384675.0
24746,137,8.9,3.98,62408.12201396546,299261.78270236263,337266.6667
39790,2713,6.4,3.85,47099.074787972226,151794.36046606625,150658.3333
19215,10053,5.6,3.98,75125.62814070351,344978.7141054105,314087.5
34081,1246,5.5,4.17,68319.05781584582,459950.26667357335,539854.1667
6715,1153,10.6,4.45,44651.378206927526,124316.43024110886,98783.75
40785,347,5.4,3.85,47202.90771175727,133462.04046828288,125466.6667
45110,810,6.7,3.85,40420.506912442404,222358.24690711798,243366.6667
55283,9014,5.4,3.65,44588.92617449664,132110.7765252402,127220.0
26694,6698,6.2,4.17,39556.135770234985,99585.33307374318,82481.0
44745,175,6.8,3.85,36568.560734943865,149017.84857216926,147699.5417
8577,7937,13.1,3.66,60683.391003460216,222444.1285920372,214587.5
53030,2408,2.9,3.65,67684.02154398564,276964.4687620176,236212.5
20528,2701,6.1,3.98,46708.18505338078,157153.4325919492,148004.1667
20682,814,6.4,3.98,64832.42753623189,197458.7575833999,158075.0
23677,7949,7.6,3.98,55730.33707865168,289943.72522697644,354057.3333
56407,8295,6.2,3.65,61172.279792746114,230908.3285518432,236595.8333
29614,1793,6.2,4.17,68814.68305304009,291224.70178998064,265775.0
1264,8853,6.7,4.45,62116.30695443645,287055.6004672554,294654.5833
45591,1472,5.7,3.85,103769.84126984127,672975.8652272522,599871.1667
45940,2101,5.6,3.85,57875.079465988565,237142.8097606031,236855.875
28077,10010,8.6,4.17,43712.5748502994,426290.8136681683,463200.0
2400,8136,8.5,4.45,54440.38089980679,308823.27118770045,337979.1667
2000,1484,7.1,4.45,46077.28883087824,172935.510788371,183808.3333
43628,3320,4.6,3.85,97165.5328798186,712247.1905635974,760883.3333
19317,7105,9.4,3.98,37569.31608133087,105111.19751442596,85633.33333
9687,4074,7.8,3.66,65257.064364207225,226743.7073236754,216462.0833
20107,4713,7.2,3.98,40625.0,127668.27604267778,123544.1667
53187,5048,3.6,3.65,68276.17328519856,266784.9358510328,263811.6667
9855,7832,5.4,3.66,72233.95270270269,318121.93486516183,321425.0
18586,6151,7.6,3.98,76236.97916666669,280407.8597555537,263888.2083
30618,8208,5.1,4.17,48552.123552123565,139777.10486474968,128718.75
57869,3698,6.0,3.65,51790.586630286496,203038.42429688064,230575.5
1998,6420,9.2,4.45,43830.039525691696,165231.14854069235,174416.6667
20179,5528,10.7,3.98,41387.096774193546,135798.8201028613,136195.8333
42444,3589,6.6,3.85,59968.236173393125,210219.007684401,142266.6667
27527,7183,4.9,4.17,36181.89806678383,117263.67853069768,120554.1667
34820,3401,6.1,4.17,68345.45454545454,351058.95914360264,366475.0
17414,4396,6.5,3.98,72484.45998445999,263042.5000120331,245908.2917
50572,8832,4.7,3.65,90850.81585081584,475345.0122299976,420549.9583
54023,1591,4.9,3.65,41279.24415116977,102053.45208862307,78112.5
345,4225,7.5,4.45,74366.6716856132,245715.70424954925,228054.1667
36838,1397,4.0,3.85,66188.0060728745,228198.48666247024,207007.9167
57904,8655,6.8,3.65,50453.79537953795,162183.71449917965,159937.5
