,SizeRank_x,unemployment_rate_x,MORTGAGE30US_x,Avg Income_x,Prediction,Actual,ZIP
11852,8861,10.9,3.66,43391.71974522293,130877.05910751462,127737.5,39845
851,5296,7.1,4.45,93279.76774615637,363806.11412403145,384675.0,10541
24746,137,8.9,3.98,76961.59500183756,336767.64662201324,337266.6667,95608
39790,2713,6.4,3.85,58201.61912104858,164549.2026688987,150658.3333,36303
19215,10053,5.6,3.98,102261.30653266332,309548.43708315876,314087.5,30621
34081,1246,5.5,4.17,83865.09635974304,446809.479273916,539854.1667,90630
6715,1153,10.6,4.45,48238.64593274575,121814.08661462371,98783.75,83686
40785,347,5.4,3.85,51501.26422250317,140659.21210895985,125466.6667,45601
45110,810,6.7,3.85,44014.97695852535,221757.0915252676,243366.6667,92234
55283,9014,5.4,3.65,49622.48322147651,128161.63262437242,127220.0,76442
26694,6698,6.2,4.17,40339.42558746736,98588.05396743008,82481.0,16504
44745,175,6.8,3.85,38916.29806056482,141654.85454575435,147699.5417,89121
8577,7937,13.1,3.66,67430.79584775088,221457.03595549503,214587.5,8318
53030,2408,2.9,3.65,78276.48114901257,282510.27805592254,236212.5,53719
20528,2701,6.1,3.98,50338.07829181495,150457.1424004952,148004.1667,40511
20682,814,6.4,3.98,80729.16666666669,223127.29345596672,158075.0,43235
23677,7949,7.6,3.98,64494.382022471924,294495.9286937309,354057.3333,81403
56407,8295,6.2,3.65,68167.09844559585,229621.57082499508,236595.8333,85615
29614,1793,6.2,4.17,85308.8615782665,260757.9394495277,265775.0,37363
1264,8853,6.7,4.45,74706.23501199041,290854.9927939392,294654.5833,16059
45591,1472,5.7,3.85,165833.33333333337,651810.3941411424,599871.1667,95762
45940,2101,5.6,3.85,62452.32040686586,247527.32392060262,236855.875,98366
28077,10010,8.6,4.17,50898.20359281437,443117.19694853993,463200.0,28756
2400,8136,8.5,4.45,65204.94065691416,312823.56641247054,337979.1667,28731
2000,1484,7.1,4.45,50440.51836658586,167836.0962121582,183808.3333,24401
43628,3320,4.6,3.85,160430.83900226754,736543.8106469974,760883.3333,77027
19317,7105,9.4,3.98,40896.48798521257,105215.86423212207,85633.33333,31501
9687,4074,7.8,3.66,74440.73783359498,216933.54096679055,216462.0833,22408
20107,4713,7.2,3.98,43679.29864253393,125668.67183583647,123544.1667,36867
53187,5048,3.6,3.65,83980.14440433212,269585.6809866523,263811.6667,54904
9855,7832,5.4,3.66,89463.68243243243,318396.99471012014,321425.0,23662
18586,6151,7.6,3.98,92643.22916666669,297504.4573403582,263888.2083,28075
30618,8208,5.1,4.17,52606.177606177596,145307.2865589351,128718.75,47978
57869,3698,6.0,3.65,54041.60982264666,202541.37881168924,230575.5,98445
1998,6420,9.2,4.45,48715.415019762855,161470.3621694755,174416.6667,24382
20179,5528,10.7,3.98,44483.87096774193,135840.4996692492,136195.8333,37321
42444,3589,6.6,3.85,68264.20029895366,191356.90169501642,142266.6667,62221
27527,7183,4.9,4.17,38290.8611599297,121270.95100276645,120554.1667,23847
34820,3401,6.1,4.17,88418.18181818182,352841.0652019383,366475.0,97062
17414,4396,6.5,3.98,94395.88189588187,274046.7919636313,245908.2917,15101
50572,8832,4.7,3.65,138403.2634032634,458558.2384837976,420549.9583,33449
54023,1591,4.9,3.65,43978.704259148166,110310.34729941895,78112.5,62702
345,4225,7.5,4.45,92705.9022811112,261371.8454157558,228054.1667,6074
36838,1397,4.0,3.85,79700.15182186235,224188.24621523617,207007.9167,17055
57904,8655,6.8,3.65,54414.19141914191,157606.41540774071,159937.5,98620
27189,1518,6.1,4.17,65170.31630170316,220808.2503286344,220964.5833,21236
16434,10571,5.2,3.98,83333.33333333331,378834.00086220016,376100.0,5340
14059,3174,6.0,3.66,64051.373346897264,173127.29784979494,165119.5833,72704
1375,6331,8.8,4.45,54219.8094930578,168359.8109204201,178043.8333,18436
43070,7047,4.1,3.85,44058.098591549286,119715.3950810452,103592.7083,72103
21507,3792,8.4,3.98,48451.32743362832,137998.69446755684,136468.75,53227
43207,5865,4.4,3.85,41738.28125,107626.34916620066,88575.0,73501
1941,5433,9.4,4.45,33867.296918767504,118689.46619770005,129575.0,23704
31439,8920,3.5,4.17,54683.37730870712,151251.31884296157,143691.6667,57717
38387,9445,4.9,3.85,164435.8407079646,745328.4119644025,800704.1667,29451
53242,5399,3.5,3.65,82109.52848722988,301668.22825423203,296540.0,55057
51655,10436,7.2,3.65,35294.117647058825,81616.08053576012,73983.33333,40387
48139,2491,5.0,3.65,67128.82726747544,182400.9480148604,150804.1667,19606
39048,5593,4.7,3.85,60616.721854304626,234579.55716602577,259584.375,32407
23294,379,6.1,3.98,62446.282767511824,158202.76603744485,142819.1667,77521
37482,2739,4.0,3.85,63542.378673957624,222662.61210707916,226619.9583,22630
3375,7965,8.8,4.45,41349.28007431491,138347.327091637,143712.5,35125
28861,5112,6.4,4.17,45667.447306791575,161608.35090150815,141445.8333,32726
42778,3735,3.4,3.85,76862.51920122888,235896.0816537202,199760.4167,66215
50877,4016,4.3,3.65,73204.54545454546,312406.53734456043,291396.7083,34747
6864,7468,8.5,4.45,46364.09865242816,163177.5003563816,158932.9167,85602
29453,10133,6.9,4.17,44202.89855072464,208326.76101167532,216658.3333,35983
21992,3202,8.6,3.98,82738.98431665421,225629.8083248061,217817.9167,60142
50243,1681,4.5,3.65,23097.165991902835,82517.14976669995,76075.0,32304
56008,5506,3.7,3.65,132571.5015321757,482442.8145431432,463241.375,80921
6586,5477,7.2,4.45,110591.32573217081,388553.9958566827,403337.2917,80403
43600,3788,4.1,3.85,59356.02775368604,151688.97696580878,144254.1667,76710
51801,4172,4.5,3.65,46264.940239043826,155907.87248791318,136954.1667,42718
9943,3507,7.5,3.66,32694.9860724234,103936.64758913261,106020.8333,24501
23755,5869,8.1,3.98,98239.43661971833,273781.8922650572,239039.2917,83716
14325,2566,6.5,3.66,60221.041809458526,157358.1937519645,131445.625,76013
26637,6369,7.3,4.17,55354.68319559228,142625.1051421267,131687.5,15501
29155,1739,7.2,4.17,41855.769230769234,144878.98106467896,143555.5556,33881
34055,789,8.3,4.17,29317.51467710372,265135.54605469824,309245.8333,90255
16912,6150,7.3,3.98,195000.0,652493.1354184003,585712.5,8550
38832,3092,5.2,3.85,37658.08491418247,92694.56518063012,89274.0,30741
28703,9284,6.0,4.17,48127.035830618894,148854.8932720268,152441.6667,31833
16625,3070,6.7,3.98,51812.567132116,258644.40638383335,289675.0,7032
4982,6363,7.1,4.45,54410.714285714275,155533.02129662395,152967.0833,56379
