DATE,T10Y3M
1/1/1982,1.915582329
1/1/1983,2.15168
1/1/1984,2.539558233
1/1/1985,2.895967742
1/1/1986,1.52648
1/1/1987,2.4278
1/1/1988,1.96208
1/1/1989,0.09916
1/1/1990,0.80592
1/1/1991,2.32284
1/1/1992,3.494501992
1/1/1993,2.80028
1/1/1994,2.712690763
1/1/1995,0.91356
1/1/1996,1.297936508
1/1/1997,1.15252
1/1/1998,0.35592
1/1/1999,0.868525896
1/1/2000,0.030358566
1/1/2001,1.542016129
1/1/2002,2.97776
1/1/2003,2.98584
1/1/2004,2.8726
1/1/2005,1.07276
1/1/2006,-0.05656
1/1/2007,0.153705179
1/1/2008,2.267410359
1/1/2009,3.1132
1/1/2010,3.076613546
1/1/2011,2.7288
1/1/2012,1.71584
1/1/2013,2.29308
1/1/2014,2.50684
1/1/2015,2.085776892
1/1/2016,1.51808
1/1/2017,1.38052
1/1/2018,0.939558233
1/1/2019,.
