Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",Europe Brent Spot Price FOB (Dollars per Barrel),Delta
2015-01-31,"2,588","665,718,117","257,233","172,910","9,236",2.3,47.218999999999994,47.7595,0.5405
2015-02-28,"2,907","756,282,794","260,159","180,000","9,488",2.3,50.7105,58.0955,7.385
2015-03-31,"3,890","1,088,716,595","279,876","190,000","9,478",2.3,47.82363636,55.88545455,8.061818182
2015-04-30,"4,143","1,146,008,754","276,613","189,940","9,855",2.4,54.45285714,59.52428571,5.071428571
2015-05-31,"4,262","1,246,869,110","292,555","202,750","10,406",2.6,59.265,64.075,4.81
2015-06-30,"4,900","1,459,576,173","297,873","200,000","10,960",2.7,59.81954545,61.47772727,1.658181818
2015-07-31,"5,061","1,477,570,114","291,952","200,000","12,248",3.0,51.06630435,56.56130435,5.495
2015-08-31,"4,575","1,281,600,093","280,131","196,000","12,437",3.1,42.86761905,46.60404762,3.7364285710000003
2015-09-30,"4,267","1,151,197,384","269,791","190,000","12,450",3.1,45.50181818,47.62318182,2.121363636
2015-10-31,"3,763","1,013,900,110","269,439","185,000","12,267",3.1,46.22363636,48.43,2.206363636
2015-11-30,"2,985","772,389,853","258,757","184,900","11,995",3.0,42.3697619,44.26761905,1.8978571430000002
2015-12-31,"4,030","1,124,714,648","279,086","195,650","11,286",2.9,37.18863636,38.00545455,0.816818182
2016-01-31,"2,649","671,756,104","253,589","184,900","11,721",3.0,31.546999999999997,30.6995,-0.8475
2016-02-29,"3,059","812,177,801","265,504","188,500","12,312",3.1,30.323,32.1815,1.8585
2016-03-31,"3,983","1,080,428,433","271,260","195,000","12,913",3.3,37.54636364,38.21045455,0.664090909
2016-04-30,"4,082","1,139,378,623","279,123","200,000","13,078",3.3,40.7552381,41.58333333,0.828095238
2016-05-31,"4,608","1,326,361,711","287,839","206,000","13,339",3.3,46.71238095,46.74238095,0.03
2016-06-30,"4,854","1,463,658,278","301,537","215,000","14,067",3.5,48.75727273,48.24727273,-0.51
2016-07-31,"4,526","1,322,313,677","292,159","215,000","14,291",3.6,44.805,44.95190476,0.146904762
2016-08-31,"4,965","1,431,424,430","288,303","208,815","14,268",3.6,44.72434783,45.84304348,1.118695652
2016-09-30,"4,194","1,159,536,226","276,475","204,000","14,258",3.6,45.15681818,46.56772727,1.410909091
2016-10-31,"3,743","1,038,943,570","277,570","200,000","13,846",3.5,49.7752381,49.52238095,-0.252857143
2016-11-30,"3,645","1,031,833,116","283,082","206,000","13,396",3.3,45.70909091,44.73409091,-0.975
2016-12-31,"4,266","1,276,678,476","299,268","211,622","12,327",3.0,51.97047619,53.36238095,1.3919047619999998
2017-01-31,"2,648","708,258,077","267,469","190,000","12,297",3.0,52.49928571,54.57666667,2.077380952
2017-02-28,"3,192","891,306,659","279,231","203,250","12,652",3.1,53.48075,54.8695,1.38875
2017-03-31,"4,498","1,286,564,342","286,030","209,900","13,640",3.3,49.32782609,51.58913043,2.261304348
2017-04-30,"4,222","1,237,791,182","293,176","210,000","14,311",3.5,51.06052632,52.30789474,1.247368421
2017-05-31,"4,984","1,529,177,302","306,817","215,000","15,049",3.6,48.52543478,50.32652174,1.8010869569999999
2017-06-30,"5,097","1,559,200,988","305,906","220,000","15,943",3.8,45.17772727,46.36818182,1.190454545
2017-07-31,"4,551","1,359,709,969","298,772","211,800","16,686",4.0,46.52904762,48.47857143,1.94952381
2017-08-31,"3,713","1,082,312,863","291,493","210,000","16,087",4.0,48.03695652,51.70434783,3.6673913039999997
2017-09-30,"4,210","1,233,229,007","292,929","214,000","14,449",3.6,49.73404762,56.15285714,6.418809523999999
2017-10-31,"4,007","1,141,240,279","284,812","210,000","13,936",3.4,51.57772727,57.50772727,5.93
2017-11-30,"3,898","1,110,973,383","285,011","210,000","13,522",3.3,56.71909091,62.71409091,5.995
2017-12-31,"4,256","1,261,861,099","296,490","215,000","11,855",2.9,57.8815,64.421,6.5395
2018-01-31,"2,768","751,047,305","271,332","200,250","11,991",2.9,63.71318182,69.07727273,5.364090909
2018-02-28,"3,342","949,360,563","284,070","213,000","12,043",2.9,62.213,65.3175,3.1045
2018-03-31,"4,199","1,224,138,044","291,531","219,900","12,875",3.1,62.7247619,66.01666667,3.2919047619999997
2018-04-30,"4,289","1,321,213,825","308,047","220,000","13,827",3.4,66.25380952,71.95904762,5.705238095
2018-05-31,"4,932","1,506,849,612","305,525","225,000","15,005",3.7,69.97818182,76.86068182,6.8825
2018-06-30,"5,302","1,684,119,220","317,638","225,500","15,284",3.7,67.87333333,74.40476190000001,6.531428571
2018-07-31,"4,824","1,477,633,179","306,309","225,000","15,760",3.8,71.10136364,74.25409091,3.152727273
2018-08-31,"5,001","1,485,049,554","296,951","220,000","15,871",3.7,68.05565217,72.52826087,4.472608696
2018-09-30,"3,923","1,156,027,711","294,680","214,500","15,728",3.7,70.212,78.891,8.679
2018-10-31,"4,066","1,219,288,636","299,874","216,000","15,395",3.6,70.74869565,81.03217391,10.28347826
2018-11-30,"3,809","1,151,420,068","302,289","220,629","15,084",3.6,56.59727273,64.74818182,8.150909091
2018-12-31,"4,033","1,260,801,576","312,621","225,000","13,708",3.3,49.52277778,57.04833333,7.5255555560000005
2019-01-31,"2,516","716,902,588","284,937","210,000","14,145",3.4,51.45386364,59.40954545,7.9556818179999995
2019-02-28,"3,223","919,429,960","285,271","216,000","14,583",3.5,54.9995,63.9605,8.961
